State,State Abbreviation,State FIPS Code,Public face mask mandate start,Public face mask mandate start x2,Face mask mandate enforced by fines,Face mask mandate enforced by criminal charge/citation,No legal enforcement of face mask mandate,Business face mask mandate start,Face mask mandate end for fully vaccinated,Face mask mandate resumed for fully vaccinated,Face mask mandate in areas with substantial and high COVID-19 transmission rates,Face mask mandate in schools for 2021-22 school year,Face mask mandate end,Face mask mandate end x2,Public face mask mandate currently in place for everyone,Banned school face mask mandates,Banned other local face mask mandates,Judicial decision blocked state from enforcing bans on mask mandates in schools,,Notes
Georgia,GA,13,,,0,0,1,2020-04-24,2021-05-01,,,,2021-05-01,,0,,2021-08-19,,,"GA - Face mask use recommended in public spaces but not required; face mask use by employees in public-facing businesses required in order to reopen; state barred localities from passing more rigorous mask laws than the state, resulting in a lawsuit (has since been withdrawn) against Atlanta for its attempts at passing mask requirements"
Hawaii,HI,15,2020-11-16,,1,1,0,2020-06-11,,,,2021-07-30,,,1,,,,,HI - Every county mandated face mask use but no statewide mandate; State-wide EO suggested masks but in stores it is required and to be enforced by the businesses. Each county has their own laws but there was never a statewide mandate. Only a suggestion. 
Idaho,ID,16,,,0,0,1,,,,,,,,0,,,,,ID - Face mask use recommended but not required in public spaces; Employers allowed to decide whether or not to require face mask use by employees
Illinois,IL,17,2020-05-01,2021-08-30,1,1,0,2020-05-01,2021-06-11,,,2021-08-04,2021-06-11,,1,,,,,IL- Fine and misdemeanor for a business in violation 3x
Indiana,IN,18,2020-07-27,,0,0,1,2020-05-01,2021-04-06,,,,2021-04-06,,0,,,,,IN- recommended but not required
Iowa,IA,19,2020-11-17,,1,0,0,2020-11-17,2021-02-07,,,,2021-02-07,,0,2021-05-20,2021-05-20,2021-09-13,,IA- Face mask order applicable in public businesses and executive branch buildings. Does not apply outdoors or in judicial or legislative areas.
Kansas,KS,20,2020-07-03,,1,0,0,2020-07-10,2021-04-01,,,,2021-04-01,,0,,,,,KS- recommended but not required
Kentucky,KY,21,2020-07-10,,1,0,0,2020-05-11,2021-05-13,,,,2021-06-11,,0,,,,,KY - 5/11 issued an order mandating that anyone in a business must wear a mask; 7/10 issued a stricter face mask policy mandating face mask use in most situations where an individual is in public
Louisiana,LA,22,2020-08-07,2021-08-04,1,1,0,2020-05-01,2021-04-28,,,2021-08-04,2021-04-28,2021-10-27,1,,,,,LA- initially recommended but not required on 7/13 a state mandate was passed however it exempts parishes with lower rates of infection. From the start 3 parishes were allowed to out of the rule and so the order has never applied statewide. 
Maine,ME,23,2020-05-01,,1,1,0,2020-05-01,2021-05-24,,,,2021-05-24,,0,,,,,"ME- on 7/8/2020 ME issued a renewed EO that added a civil penalty against business or permit holders in violation of these orders, including revocation of licence or permit."
Maryland,MD,24,2020-04-18,,1,1,0,2020-04-18,2021-05-15,,,,2021-05-15,,0,,,,,MD- First facemask order was issued on april 18. On July 31 2020 the order was expanded to more indoor spaces and situations and stipulated mask use outside when social distancing can not be maintained. 
Massachusetts,MA,25,2020-05-06,,1,0,0,2020-05-06,2021-05-29,,,2021-08-24,2021-05-29,,0,,,,,
Michigan,MI,26,2020-04-27,2020-10-05,1,1,0,2020-04-27,2021-05-15,,,,2020-10-02,2021-06-22,0,,,,,MI - 7/10 order with penalties of $500 for those who refuse to wear face masks in public areas
Minnesota,MN,27,2020-07-25,,1,1,0,2020-07-25,2021-05-14,,,,2021-05-14,,0,,,,,MN- recommended but not required
Mississippi,MS,28,2020-08-05,,0,0,1,2020-05-07,2020-09-30,,,,2020-09-30,,0,,,,,MS- ordered by Governor's EO in some counties. Recommended but not required in other counties. On 8/5 masks were mandated. On 9/30 the rule was repealed. On 11/11/2020 there was an order requiring masks only in some counties but the rules do not apply statewide. 
Missouri,MO,29,,,0,0,1,,,,,,,,0,,,,,MO- recommended but not required
Montana,MT,30,2020-07-15,,0,0,1,2020-07-15,2021-02-12,,,,2021-02-12,,0,,2021-05-07,,,"MT-7/15 governor mandated face mask use in counties with four or more active COVID cases, but not a statewide order "
Nebraska,NE,31,,,0,0,1,,,,,,,,0,,,,,NE- Gov threatened to withhold federal funding from local governments that tried to pass mask laws. 
Nevada,NV,32,2020-06-26,,1,1,0,2020-05-09,2021-05-13,,2021-07-30,,,,1,,,,,NV-  recommended but not required
New Hampshire,NH,33,2020-11-20,,0,0,1,2020-05-01,2021-04-16,,,,2021-04-16,,0,,,,,NH-8/11/2020 order requires facemasks at events with over 100 people in attendance.
New Jersey,NJ,34,2020-04-08,,1,1,0,2020-04-08,2021-05-28,,,2021-08-09,2021-05-28,,0,,,,,
New Mexico,NM,35,2020-05-15,,1,0,0,2020-05-06,2021-05-14,2021-08-20,,2021-08-20,,,1,,,,,NM - Face mask mandate for elementary schools only for 2021-22 school year
New York,NY,36,2020-04-17,,1,0,0,2020-04-17,2021-05-19,,,2021-08-27,,,0,,,,,NY- allows for both civil and criminal penalties for a violation but as of 7/9/2020 limits the punishment to a fine of $1000.
North Carolina,NC,37,2020-06-26,,0,1,0,2020-06-26,2021-05-14,,,,2021-05-14,,0,,,,,NC-recommended but not required; NC- citations for businesses in violation of the rule. Individuals can not be charged directly for a facemask violation but they can face criminal trespass charges. NC-left it up to individual establishments
North Dakota,ND,38,2020-11-14,,1,1,0,2020-04-28,2021-01-18,,,,2021-01-18,,0,,2021-04-22,,,"ND- recommended but not required. 11/14/2020 includes exceptions for children under age 5, individuals with a medical or mental health condition or disability that makes it unreasonable to wear a mask, and religious services. ND-Just applies to employees in personal care services"
Ohio,OH,39,2020-07-23,,1,1,0,2020-04-29,2021-05-14,,,,2021-06-02,,0,,,,,"OH- 7/7 Governor mandated face mask use in seven counties, but not state-wide. 7/23 face mask order issued statewide. 11/11/2020 update new provisions for stores to put up signage and a greater onus on buisness owners to enforce the law. "
Oklahoma,OK,40,,,0,0,1,,,,,,,,0,2021-07-01,,,,OK - Mask mandates banned for all buildings and office space owned or leased by the State and open to the public
Oregon,OR,41,2020-07-01,2021-08-13,1,1,0,2020-05-09,2021-05-13,,,2021-07-29,2021-06-30,,1,,,,,OR - Initially required face masks on public transit but recommended for all other situations; 7/1 order mandated face masks for all public areas; Face mask mandate for public schools only for 2021-22 school year
Pennsylvania,PA,42,2020-07-01,,0,1,0,2020-04-19,2021-05-13,,,2021-09-07,2021-06-28,,0,,,,,"PA-4/19 only required face masks for customers in businesses, expanded order 7/1 to include all public areas"
Rhode Island,RI,44,2020-05-08,,1,0,0,2020-04-18,2021-05-18,,,2021-08-19,2021-07-06,,0,,,,,
South Carolina,SC,45,,,1,1,0,2020-08-03,2021-05-11,,,,2021-05-11,,0,2021-05-11,2021-05-11,2021-09-28,,SC - Encouraged but did not require essential employees to use face masks. 8/3/2020 new executive order requires all employees and patrons of restaurants to wear a mask and also requires masks while in state government facilities. 
South Dakota,SD,46,,,0,0,1,,,,,,,,0,,,,,SD- encouraged but not required
Tennessee,TN,47,,,0,0,1,,,,,,,,0,2021-08-16,,2021-09-03,,TN-  encouraged but not required. 8/3/2020 issued order allowing local governments in the state to pass their own mask mandates. TN- encouraged but didn't require employees to wear a mask at work
Texas,TX,48,2020-07-03,,1,0,0,2020-07-03,2021-03-10,,,,2021-03-10,,0,2021-06-05,2021-05-18,2021-08-25,,TX - Public schools could continue to mandate face masks until 6/5/2021
Utah,UT,49,2020-04-10,2020-11-09,0,0,1,2020-04-10,2021-04-10,,,,2020-05-01,2021-04-10,0,2021-05-28,,,,UT - Prohibits mask mandates at any public or higher education institutions; First required facemasks as part of the safer-at-home order (recorded this date as the start of face mask mandates for the state and not from any subsequent independent orders); Stay-at-home order expired 5/1/2020; State required masks in certain high risk areas but rule no longer applies state wide; New order in place 11/9/2020-11/23/2020
Vermont,VT,50,2020-08-01,,0,0,1,2020-04-17,2021-05-14,,,,2021-06-14,,0,,,,,
Virginia,VA,51,2020-05-29,,1,1,0,2020-05-29,2021-05-15,,,2021-07-27,2021-05-15,,0,,,,,
Washington,WA,53,2020-06-26,,1,1,0,2020-06-08,2021-05-13,2021-08-23,,2021-07-28,,,1,,,,,
West Virginia,WV,54,2020-07-07,,1,1,0,2020-05-11,2021-05-14,,,,2021-06-20,,0,,,,,WV-5/4 customers of personal care services must wear face masks; WV-applies to first wave of opening businesses (personal care services)
Wisconsin,WI,55,2020-08-01,,1,0,0,2020-08-01,2021-03-31,,,,2021-03-31,,0,,,,,"WI-recommended but not required. updated August to a requirement. As of 11/20 the order has been extended through Jan 19, 2021 "
Wyoming,WY,56,2020-12-09,,1,1,0,2020-05-01,2021-03-16,,,,2021-03-16,,0,,,,,
Total,,,1900-02-10,1900-01-05,31,23,17,1900-02-14,1900-02-13,1900-01-03,1900-01-01,1900-01-16,1900-02-07,1900-01-03,7,1900-01-09,1900-01-09,1900-01-06,,
